Date,Latitude,Longitude,CD1  (/km^2),CD2  (/km^2),CD3  (/km^2),CD4  (/km^2),WD1 (g/km^2) ,WD2 (g/km^2) ,WD3 (g/km^2) ,WD4 (g/km^2) ,Sea State,Source,Info,Comments,
,,,.335-.999 mm,1.00-4.75 mm,4.75-200 mm,>200 mm,.335-.999 mm,1.00-4.75 mm,4.75-200 mm,>200 mm,(Beaufort Scale),,,,
9/1/2010,19.9432,-64.5649,58102.96,21259.89,2226.17,,4.45,26.83,4.23,,2.5,M. Eriksen,NAG10-SM001,,
9/1/2010,20.2173,-64.3828,6639.79,4031.30,1067.11,,1.04,28.69,40.79,,2,M. Eriksen,NAG10-SM002,,
9/1/2010,20.4521,-64.1968,15246.71,12147.79,991.66,,2.57,42.62,3503.27,,2,M. Eriksen,NAG10-SM003,,
10/1/2010,21.1293,-63.8333,5347.35,6851.29,1420.39,,1.15,12.86,4.26,,2,M. Eriksen,NAG10-SM004,,
10/1/2010,21.473,-63.5899,4090.58,5317.76,409.06,,0.48,29.63,4.36,,2,M. Eriksen,NAG10-SM005,,
10/1/2010,21.7367,-63.4227,44914.59,46144.76,33133.71,,6.26,47.98,2051.84,,2,M. Eriksen,NAG10-SM006,,
11/1/2010,22.15,-63.1474,17324.82,4519.52,502.17,,1.38,3.52,1.13,,2,M. Eriksen,NAG10-SM007,,
11/1/2010,22.8418,-62.7592,10467.48,10329.75,413.19,,1.24,33.90,15.84,,2,M. Eriksen,NAG10-SM008,,
12/1/2010,24.3576,-62.8129,7434.53,9436.14,190.63,,1.14,28.59,0.29,,4,M. Eriksen,NAG10-SM009,,
12/1/2010,24.3576,-62.8129,0.00,1510.37,704.84,,0.00,8.96,13.59,,4,M. Eriksen,NAG10-SM010,,
13/01/2010,24.7657,-62.7221,377.59,1636.23,377.59,,0.11,5.41,7.93,,4,M. Eriksen,NAG10-SM011,,
13/01/2010,25.3751,-62.4785,3126.56,2918.12,416.87,,0.46,3.99,0.42,,3,M. Eriksen,NAG10-SM012,,
